team,elo_rating,goals_for_roll10,goals_against_roll10,points_roll10,win_rate_roll10,draw_rate_roll10,loss_rate_roll10,last_match_date,matches_used
São Tomé and Príncipe,1189.1638402223975,0.6,2.1,0.5,0.1,0.2,0.7,2025-10-13,10
Tahiti,1525.2083711558332,1.2,1.4,1.6,0.5,0.1,0.4,2025-03-21,10
Taiwan,1097.326568261083,1.4,2.9,0.6,0.2,0.0,0.8,2025-11-18,10
Tajikistan,1448.3421439334431,2.2,1.2,2.2,0.7,0.1,0.2,2025-11-18,10
Tamil Eelam,1585.904476917442,2.7,1.3,2.4,0.8,0.0,0.2,2025-07-04,10
Tanzania,1403.2455817580012,1.2,1.4,0.5,0.1,0.2,0.7,2026-03-29,10
Thailand,1548.8064276261334,2.4,0.7,2.4,0.8,0.0,0.2,2025-11-18,10
Tibet,1271.6716193983868,1.6,4.1,0.2,0.0,0.2,0.8,2025-07-03,10
Ticino,1418.4763152895357,1.0,6.5,0.0,0.0,0.0,1.0,2023-08-06,2
Timor-Leste,948.5365293819725,0.6,3.5,0.3,0.1,0.0,0.9,2025-11-18,10
Togo,1474.257303818226,0.9,1.0,1.2,0.3,0.3,0.4,2026-03-31,10
Tonga,1113.1504150519952,1.2,4.5,0.6,0.2,0.0,0.8,2024-09-09,10
Trinidad and Tobago,1540.0178420994932,1.0,2.0,0.8,0.1,0.5,0.4,2026-05-30,10
Tunisia,1760.18306183697,1.3,1.0,1.3,0.3,0.4,0.3,2026-06-01,10
Turkey,1907.522328886522,2.3,1.3,2.2,0.7,0.1,0.2,2026-06-01,10
Turkmenistan,1410.0272161949486,1.6,1.4,1.6,0.5,0.1,0.4,2025-11-18,10
Turks and Caicos Islands,1043.1533335296276,0.9,1.8,1.0,0.2,0.4,0.4,2025-08-16,10
Tuvalu,1243.9025013659077,1.3,5.6,0.7,0.2,0.1,0.7,2023-11-30,10
Two Sicilies,1412.1420871510174,0.5,3.0,0.5,0.16666666666666666,0.0,0.8333333333333334,2023-07-02,6
Uganda,1521.662798480954,1.4,1.5,1.4,0.4,0.2,0.4,2025-12-30,10
Ukraine,1818.1517820003064,1.6,1.5,1.9,0.6,0.1,0.3,2026-05-31,10
United Arab Emirates,1665.9351313576456,1.2,1.4,1.2,0.3,0.3,0.4,2025-12-15,10
United Koreans in Japan,1504.4652246477485,1.9,0.8,1.2,0.2,0.6,0.2,2018-06-09,10
United States,1817.02303310253,1.8,1.7,1.6,0.5,0.1,0.4,2026-05-31,10
United States Virgin Islands,1027.5556964476468,1.5,2.0,1.0,0.2,0.4,0.4,2026-03-28,10
Uruguay,1944.7720820221,1.0,0.9,1.6,0.4,0.4,0.2,2026-03-31,10
Uzbekistan,1817.7980234315723,1.3,0.7,1.6,0.4,0.4,0.2,2026-06-01,10
Vanuatu,1447.5477091978703,1.4,2.4,1.1,0.3,0.2,0.5,2025-11-23,10
Vatican City,1420.5662776735796,0.5714285714285714,2.4285714285714284,0.42857142857142855,0.0,0.42857142857142855,0.5714285714285714,2019-03-23,7
Venezuela,1777.5567741404197,1.1,1.5,1.3,0.4,0.1,0.5,2026-03-30,10
Vietnam,1495.6044059363223,2.4,1.0,2.7,0.9,0.0,0.1,2026-03-26,10
Wales,1714.0625279541969,1.7,1.6,1.2,0.3,0.3,0.4,2026-06-02,10
Wallis Islands and Futuna,1359.539514109067,0.7777777777777778,6.222222222222222,0.3333333333333333,0.1111111111111111,0.0,0.8888888888888888,1995-08-20,9
West Papua,1474.399989764441,1.5,4.5,0.5,0.0,0.5,0.5,2022-11-13,2
Western Armenia,1519.869438901254,2.0,1.3,1.4,0.4,0.2,0.4,2019-06-09,10
Western Isles,1441.8086751157145,1.1,1.9,1.0,0.3,0.1,0.6,2025-07-17,10
Western Sahara,1399.5219277041117,1.7777777777777777,4.222222222222222,0.7777777777777778,0.2222222222222222,0.1111111111111111,0.6666666666666666,2013-06-28,9
Yemen,1331.8959771819684,2.8,1.0,1.8,0.5,0.3,0.2,2025-11-26,10
Ynys Môn,1646.0218342096377,2.1,1.0,2.7,0.9,0.0,0.1,2025-07-17,10
Yorkshire,1553.4205338478384,3.857142857142857,1.5714285714285714,2.2857142857142856,0.7142857142857143,0.14285714285714285,0.14285714285714285,2019-06-01,7
Yoruba Nation,1483.6241109095718,0.5,1.0,0.5,0.0,0.5,0.5,2022-05-23,2
Yugoslavia,1616.1306872694786,2.1,1.3,1.4,0.4,0.2,0.4,1992-03-25,10
Zambia,1541.2513450260474,0.5,2.3,0.5,0.1,0.2,0.7,2026-03-31,10
Zanzibar,1539.6921596338625,1.3,0.8,2.0,0.6,0.2,0.2,2025-01-13,10
Zimbabwe,1472.9404423617407,1.1,1.3,1.1,0.3,0.2,0.5,2026-05-30,10
Åland Islands,1477.334124295763,0.8,1.4,1.0,0.2,0.4,0.4,2023-07-13,10
